tweets;Classification
"#Eleições2022: ACM Neto, Haddad e outros candidatos terão que superar histórico adverso de viradas no segundo turno
	";Positivo
"Vai voltar aquele VEJO MORO E BOLSONARO COMO UMA COISA SÓ?Que decepção....Após apoio, Bolsonaro elogia Moro e diz que desentendimento com ex-ministro está 'superado' | Eleições 2022 | G1
	";Negativo
"Bolsonaro recebeu voto útil na última hora, diz Datafolha https://portalsbn.com.br/bolsonaro-recebeu-voto-util-na-ultima-hora-diz-datafolha… #ELEIÇÕES 2022 via @PortalSBN
	";Negativo
"Estão começando a entender que vivem em uma bolha e que a redação do jornal não representa o Brasil. #Eleicoes2022
	";Negativo
"Toda Impren$a em PânicoNão aprenderam nada com 2018 e continuaram subestimando Bolsonaro e a inteligência do BrasileiroEssa galera é totalmente descolada do sentimento da população e ficam frustrados ao perceberem que não influenciam mais as pessoas@jairbolsonaro 
	";Neutro
"Orgulho de fazer parte do grupo que não votou nem no Lula e nem no Bolsonaro #Eleicoes2022
	";Neutro
"#BolsonaroPresidente22#Eleicoes2022Toda a direita e conservadores unidos contra o capeta Sérgio Moro gigante pela própria natureza 
	";Negativo
"Óbvio que o Ciro vai apoiar o Lula … #forabolsonaro #Eleicoes2022 #LulaPresidente2022
	";Negativo
"(UOL Notícias) #Aprizion >  Doria diz que foi ""excluído"" e classifica PSDB como ""partido perdedor"" e que tende a sumir #Eleições2022 #UOLEleições2022 
	";Negativo
"É hora de mostrarmos a nossa união! Que venha o segundo turno!#Eleicoes2022 #JairBolsonaroReeleito #JairBolsonaroPresidente22 #Brasil
	";Negativo
"""Porque não lutamos contra carne e sangue, mas contra os principados, contra as potestades, contra os governantes das trevas deste mundo, contra a maldade espiritual em regiões celestiais.""-Efésios 6:11 versão BKJ#Eleicoes2022@taoquei1
	";Negativo
"BOLSONARO SATANISTA Maçonaria
	";Negativo
"Eleições 2022: Confira o desempenho dos candidatos a deputado estadual e federal do Oeste da Bahia
	";Negativo
"A verdade nos libertará,  VOTE 13! #Eleicoes2022 #LulaNoSegundoTurno #LulaPresidente2022
	";Negativo
"Mas Deus não tarda.. Deus mostra... e está nos mostrando... que decepção... Acreditava tanto que Deus falava através dele... tentou ludibriar minha fé... perdi meu chão!!! O que mais ele fala que é mentira?
	";Neutro
"O clima está tão tenso que a galera nem trocou a foto de perfil para o dia das crianças. kkkkkkkkkkk#LulaPresidente2022 #Eleicoes2022
	";Negativo
" Ao contrário do que afirmou o presidente da ALE-RR, o Estado de Roraima passa por crises em vários setores, principalmente na Educação, Saúde e Segurança, alvos de constantes reclamações por parte da população. #OPoder #roraima #eleições2022
	";Neutro
"""..precisamos purificar a raça Brasileira"". Extrema esquerda é a verdadeira fascista.  #Nordeste #Eleicoes2022
	";Negativo
"Quem é o fascista?
	";Negativo
"#BolsonaroPresidente22 #Nordeste #Eleicoes2022
	";Negativo
"Confesso que agora to rindo
	";Negativo
"@cirogomes , Cirão vem cá, tu vai apoiar o @ptbrasil mesmo?Prestes devem ficar puto no astral com os sucessores dele, você e o Brizola.Honestamente? Eu sei que você é progressista, mas sério, apoiar o @LulaOficial é humilhação demais para o seu CPF.#Eleicoes2022 #Votem22
	";Negativo
"Não esquecemos e demos a resposta.#LulaPresidente2022 #Eleicoes2022
	";Negativo
"DEPOIS DE OLHAR AS TRENDS #WhatsApp #instagram QUE DECEPÇÃO #Eleicoes2022
	";Negativo
"Elvis Cezar agradece votos e não se posiciona sobre 2° turnoCandidato a governador  pelo PDT não se manifestou sobre apoio a Haddad, Tarcísio ou neutralidade.https://webdiario.com.br/elvis-cezar-agradece-votos-e-nao-se-posiciona-sobre-2-turno/…#santanadeparnaiba #eleiçoes2022
	";Negativo
"kkkkkkkk quem sou eu
	";Negativo
"Quais foram os candidatos menos votados em Goiás?https://cutt.ly/1V6S9wm#eleições2022 #candidatos #votos #senador #goias
	";Negativo
"Tarcísio diz que espera 'migração natural' de tucanos para sua candidatura, mas que 'não vê sentido' ter Garcia no palanque | Eleições 2022 | O Globo
	";Neutro
"@SF_Moro #EleicoesBrasil2022 #Eleicoes2022 #LulaPresidente2022
	";Negativo
"#brasil #LulaPresidente2022 #BolsonaroNuncaMais #elenao  #combateafakews #Eleicoes2022
	";Negativo
"Quem diria que o cabo daciolo iria decidir o segundo turno das eleições em 2022 kkkkkkk
	";Negativo
"PDT anuncia apoio a Lula no segundo turno. A vitória vemmmm e o choro é livre!!! #Eleicoes2022 #LulaPresidente2022 #BolsonaroNoPrimeiroTurno22
	";Positivo
"Gente corre live pegando Fogoooo https://youtube.com/watch?v=rAW9zAMH5Q0…  #AFazenda14 #AFazenda #RoçaAFazenda #Eleicoes2022
	";Negativo
"Foi um prazer @minc_rj #Eleicoes2022
	";Negativo
"OBRIGADO A TODAS E TODOS QUE VOTARAM EM MIM: 54.942 pessoas que contribuíram para renovar o meu mandato, reforçando nossas lutas em defesa do meio ambiente, dos LGBTI+, do uso do canabidiol, da liberdade de fé, dentre tantas outras. Continuamos juntos por um Rio Ecolibertário!
	";Neutro
"#Eleicoes2022 #PresidenteBolsonaro22 
	";Negativo
"Agora é questão de quem apoia Bolsonaro e quem não. #LulanemFudendo
	";Negativo
"Políticos passam e as pessoas ficam! Você pode pensar diferente da maioria dos nordestinos, mas isso não é autorização para você ser xenofóbico com um povo que é tão brasileiro quanto você! #Eleicoes2022
	";Negativo
"WASABI PORTÁTIL no ar!!#wasabicast #podnipobr #podcast #podcastbrasil #japao #Eleicoes2022
	";Negativo
"#Eleições2022: Sergio Moro oficializa apoio a Bolsonaro no 2º turno das eleições. Confira a declaração do senador eleito pelo Paraná:#BandEleicoes #RBEleições
	";Positivo
"Lula não é uma opção eleitoral, com seu governo marcado pela corrupção da democracia. Contra o projeto de poder do PT, declaro, no segundo turno, o apoio para Bolsonaro.
	";Positivo
"Em entrevista coletiva, o Presidente Nacional do PDT, Carlos Lupi anunciou apoio à candidatura de Lula no 2º turno da Eleições após a derrota de Ciro.Aqui não tem Fake, tem News. #eleicoesrdctv #eleicoes2022 #pdt #2turno #lula #ciro #bolsonaro #presidente
	";Positivo
"Sabia que não ia decepcionar... Cirão da massa fez o L!!!! Obrigada, @cirogomes Agora precisamos de você @simonetebetbr . Contra o ódio, a homofobia, a divisão de classes. A favor da democracia #Eleicoes2022 #LulaPresidente #cirogomes #SimoneTebet
	";Neutro
"O que diabo é maçonaria???  #Eleicoes2022
	";Negativo
"#Eleicoes2022 #LulaPresidente2022
	";Negativo
"Hoje um irresponsável com 1.5M de seguidores falou que se o Lula ganhar, nós vamos perder o direito de nos expressar na internet e ninguém poderá discordar do governo.Eis a realidade:
	";Neutro
"The other things your iPhone calculator can do .#JENNIExCHANELSS23 #BoycottAdipurush #GandhadaGudi #bb24 #LoveinTheAirEP7 #Blacko #Shattawale #Aboabanku #bbrightvc #BBNaija7 #zeycağ #Ukraine #russiaisateroriststate #Tuesday #Eleicoes2022 #KUNIKUZUSHI #MareehaSafdar #Forex3D
	";Negativo
"PDT anuncia apoio a Lula no segundo turno das eleições e diz que Ciro endossa decisão | Eleições 2022 | O Globo
	";Positivo
"Eu preciso encontrar com a menina que não parava de trocar olhares comigo. No dia do primeiro turno das eleições 2022, uma menina usando a camisa do Brasil com o nome de Layza. Ela foi muito simpática. Precisava encontrar essa menina. Se caso você vir esse tweet, mande um alô.
	";Neutro
"#Eleicoes2022 #igrejacatólica #maconaria
	";Negativo
"29/09/22 - NA FESTA DOS SANTOS ANJOS DA GUARDA, PADRE OVERLAND MAIS UMA VEZ CONVIDA OS FIÉIS A REZAREM PELAS ELElÇÕES 
	";Negativo
"Eu crente assembleiana estou escandalizada com o Bolsonaro na maçonaria, ele está nos enganando dizendo que é cristão e na vdd está se unindo ao inimigoMudo meu voto ao Lula e todas nós mulheres de Deus temos que fazer isso também #Eleicoes2022 #BolsonaroPresidente22
	";Neutro
"Diga-me com quem andas...
	";Negativo
"Deus acima de todos#segundoturno #Eleicoes2022 #LulaNoSegundoTurno #BolsonaroMacom maçonaria cristãos
	";Negativo
"Olha a pessoa que foi eleita pra representar o povo em Brasília casou na maçonaria e tem como padrinho Sérgio Moro.
	";Negativo
"Errados são os Mineiros e Cariocas que votarem nessas coisas ruins. Cidadãos de bem. #Eleicoes2022
	";Negativo
"Cláudio Castro e Romeu Zema anunciaram apoio a Jair Bolsonaro. Não existe surpresa. #Eleicoes2022 e
	";Negativo
"Últimas informações! Maçonaria #LulaPresidente2022 #Eleicoes2022
	";Negativo
"#Eleições2022 tem recorde histórico de votos no 1° turno#eleições #urnaeletronica
	";Positivo
"Eleições 2022 Pernambuco: Veja quem são os deputados federais eleitos#Brasil #CâmaradosDeputados #Congresso
	";Negativo
"Em menos de 4 anos, o Governo Bolsonaro já levou o Programa Criança Feliz, para mais de 23 mil crianças com deficiência, ou seja, 50% a mais do que no último governo.
	";Neutro
"Acho que os evangélicos não vão gostar de ver essa foto. 
	";Negativo
"Os cristãos não estão com Bolsonaro!Isso é uma mentira!Sou católico, frequento à Igreja há muitos anos e jamais estarei ao lado de quem é contra a vida, contra a ciência e está do lado da fome.#Eleicoes2022 #Eleições
	";Neutro
"O IPEC é uma organização criminosa twitter.com/RickSouza/stat…
	";Negativo
"Se você não que se unir pela democracia, então vamos nos unir pela FOFOCA. Com Lula Presidente teremos acesso a todos os sigilos de 100 anos que o presidente colocou em tudo que fez. Você não quer saber o que ele esconde?
	";Neutro
"meu deus agr tao falando q a eleicao foi fraudada q o governo russo ta no meio, que a nova ordem mundial ta envolvida  as cronicas das eleições 2022
	";Negativo
"Eleições 2022: Marília ou Raquel? Veja votação de ambas no Sertão do Pajeú
	";Negativo
"Eu sou cristã e estou com Lula! #Eleicoes2022
	";Negativo
"a Virgínia jamais saberá o valor disso aqui
	";Negativo
"Primeiro você coloca a ratoeira pra pegar o ratoeira!#BrasilDaEsperanca #MONEY #Eleicoes2022 #Bolsonaro22
	";Negativo
"Exerceu sua cidadania? Participe da Pesquisa de Satisfação dos Locais de Votação nas #Eleições2022!A consulta tem o objetivo de entender a percepção dos eleitores e eleitoras quanto ao conforto , acessibilidade e qualidade no atendimento dos locais de votação .
	";Neutro
"#Eleições2022 | Fernando Haddad (PT) e Tarcísio de Freitas (Republicanos) disputam o segundo turno das eleições para o governo de São Paulo. Veja as propostas dos dois candidatos para a segurança pública e saiba o que dizem os especialistas. 
	";Neutro
"Os desafios do futuro governador de São Paulo na segurança pública passam pela redução da violência policial, o combate à criminalidade e o investimento em investigação. A Ponte analisou as propostas dos 4 principais candidatos ao Palácio dos Bandeirantes.Siga o #Eleicoes2022
	";Negativo
"https://youtu.be/B_ICggEuXeMBolsonaro Lula Cabo Daciolo Eleições 2022 Poesia Acústica 13 2 turno Luísa Sonsa
	";Negativo
"opa,sou o contrario,n te seguia e agora estou seguindo, é sempre bom qd uma pessoa declara que NÃO votou no BOÇALNARO ,quero dizer nesse momento:Quem nao vota no BOZO é só falar que eu sigo , independente d quem vc votou ....TMJ e misturado #Eleicoes2022 #ForaBolsonaro
	";Negativo
"Mas um lulista s4f4d0.Abusador! #Eleicoes2022 #PresidenteBolsonaro22 
	";Negativo
"Justiça decreta prisão preventiva de juiz aposentado por importunação sexual contra dentista em Copacabana https://oglobo.globo.com/rio/noticia/2022/10/justica-decreta-prisao-preventiva-de-juiz-aposentado-por-importunacao-sexual-contra-dentista-em-copacabana.ghtml?utm_source=Twitter&utm_medium=Social&utm_campaign=globorio…
	";Neutro
"ACORDA BRASIL! VOTE 13 13 13 13#Eleicoes2022 #LulaNoSegundoTurno #LulaPresidente2022
	";Negativo
"What to expect in the coming weeks? Violence.– @MaluGatto, live now: https://bit.ly/3M3p2ee#Eleicoes2022
	";Negativo
"A matéria do Jota saiu em agosto:
	";Negativo
"Depois dessa facada pelas costas, impossível apoiar o Bolsonaro. Foi defendido pelos cristão cegamente e se alia à ideologias satanistas. Antes era 22, agora é 13. #Eleicoes2022 #Bolsonaro #LulaPresidente2022
	";Negativo
"Lula recebe apoio do PDT para o segundo turno; Bolsonaro é escolhido por Moro, Zema e Castro. | Eleições 2022 | G1
	";Positivo
"O PT está disparando FakeNews, perfil novos com fotos de pessoas alheias. A pessoa do perfil diz que é alguém da família que não vota mais em Bolsonaro.A JOVEM da foto é Taylor Swift, cantora e compositora estadunidense e seu namorado.#Eleicoes2022 @jairbolsonaro
	";Neutro
"Pátria, família, liberdade e maçonaria.#maconaria #BolsonaroSatanista #Eleicoes2022
	";Negativo
"JAIR MAÇONARIA#Eleicoes2022 #EleicoesBrasil2022
	";Negativo
"Em 2019, o vice-presidente da República, Hamilton Mourão, alcançou o grau mais alto da maçonaria. Saltou do nível quatro para o 33 dentro da Sociedade Secreta e tornou-se Grande Inspetor-Geral da Ordem.
	";Negativo
"Meu Jesus, Jair Maçonaro é demais Parece que o cristão do Paraguai tá caindo do cavalo  #Eleicoes2022 #LulaPresidente2022
	";Negativo
"Pesquisas. Dados. Estatística. Entre a realidade e a ficção. - Leia em http://alrocha-antenacultural.blogspot.com/2022/10/pesquisas-dados-estatistica-entre.html…#SOSBrasil #Democracia #Cidadania #Pesquisas #Dados #Estatisticas #Eleicoes2022
	";Negativo
"AAAAA MAS SE FOSSE APOIADOR DO BOLSONARO JA TERIA VIRALIZADO NÉ? #lulanao #Bolsonaro22 #Eleicoes2022 #satanicoéolula
	";Negativo
"OxeOs crentes estão chocados com o BOLSONARO SATANISTA por quê???Nunca perceberam esses indícios neste homem desprezível???#LulaPresidente2022 #Eleicoes2022
	";Negativo
"João Doria, ex-governador de São Paulo, diz que votará nulo no segundo turno das eleições presidenciais deste ano.#Eleições2022
	";Positivo
"Analisando o cenário do 1º turno das Eleições 2022. https://youtu.be/WXNiV292Bq8 via @YouTube
	";Negativo
"esse homem é desnecessário no planeta
	";Negativo
"João Doria declara ao @UOL que votará nulo no 2o Turno das eleições presidenciais.
	";Positivo
"#WelcomeBackCHANYEOL #wewantrawoneback #Eleicoes2022 #ElonMusk #JENNIExCHANELSS23 #navratri2022 Le Navratri ending :Kal ka scene 
	";Negativo
"Venham ouvir algumas verdades conosco.
	";Negativo
"Os petistas só falam das mortes por covid. Mas nenhum deles falam quantas pessoas morreram quando o PT desviou mais de 242.4 bilhões da saúde.
	";Negativo
"#LulaNoSegundoTurno #Eleicoes2022 #LulaPresidente2022
	";Negativo
"Faça a sua parte como cristão e vote 13. Lutem pelo bem e pelo BRASIL.#Eleicoes2022 #LulaNoSegundoTurno #LulaPresidente2022
	";Negativo
"Montagem amiga ? Kkk
	";Negativo
"Fiz questão de conseguir essa fala do presidente para o setor de bares e restaurantes. Ele defendeu o trabalhador, enquanto o PT mandava você ficar em casa. Compartilhe ao máximo!!
	";Neutro
"eu todos os dias até o segundo turno para os eleitores de Ciro e Tebet
	";Negativo
"Para o corrupto e ex-presidiário, família e valores é uma „coisa“ atrasada.#ELEICOES2022 #elenao #lulajamais
	";Negativo
"Engraçado que pra isso meus “irmãos cristãos católicos” fecham os olhos! Enfim, a hipocrisia! #ForaBolsonaro #Eleicoes2022
	";Negativo
"Presidente do PDT, Carlos Lupi, anuncia apoio à candidatura de Lula (PT). A decisão foi tomada de forma UNÂNIME. Ciro Gomes deverá realizar pronunciamento em breve, mas já informou que apoia totalmente a decisão do partido. #Eleicoes2022
	";Neutro
"DIA 30 APERTE 13 E CONFIRME.  #Eleicoes2022 #LulaNoSegundoTurno #LulaPresidente2022
	";Negativo
"Eu faço parte dos 57.164.868Que não envergonharam o BrasilNão somos decepção! O PT É O PODER! não precisa de Fake News pra ganha eleição!Essas fotos também são montagem?
	";Negativo
"isso aqui também é divertido: os bairros / zonas eleitorais de cada uma das cidades brasileiras onde os candidatos receberam mais ou menos votos.
	";Negativo
"Se é pra ter respeito pelos outros, qual problema do bozo tá com os maçons??O que aconteceu com "" ninguém solta a mão de ninguém"" "" somos todos iguais"" ""respeito e igualdade "" os maçons não são gente não?#Eleicoes2022 #EleicoesBrasil2022 #2turno #BrasilDaEsperanca
	";Neutro
"lukinho dando murro no maçonaro que jura pelo capeta
	";Negativo
"Eleições 2022 PDT declara apoio a Lula no segundo turno: “Bolsonaro é um aspirante a ditador” Leia mais: https://bit.ly/3RyJQLN
	";Positivo
"VAMO BOLSONÁRIO!!! #BolsonaroPresidente22 #Bolsonaro22 #Eleicoes2022
	";Negativo
" PDT anuncia oficialmente apoio à candidatura de Lula para o 2º turno das eleições. De acordo com o comunicado do partido, o político Ciro Gomes concorda com a decisão. #Eleições2022
	";Positivo
"De 10 notas máximas em redação no ENEM,07 são do Nordeste. Sempre são destaque NACIONAL em EDUCAÇÃO.Quando querem viajar,é pra lá que vocês vão.RESPEITEM o Estado,e as pessoas de lá,que eles possuem o que TODO BRASILEIRO DEVERIA TER: consciência de classe #Eleicoes2022
	";Neutro
"Das 94 cadeiras na ALESP, 25 foram ocupadas por candidatos FUNDAMENTALMENTE de esquerda.O ""maior estado do país"" povoou com SOCIALISTAS nada menos que 26% de sua assembleia.Que beleza...#SQN
	";Neutro
"Matéria linda do @g1 . Muito orgulho do meu voto. Voa, @EdianeMariaMTST .  Representa a população que tanto precisa na @AssembleiaSP . #Eleicoes2022 #Alesp
	";Negativo
"""Always check if the door is locked""
	";Negativo
"Eh a campanha do 12 + 1#PDT #Eleicoes2022 
	";Negativo
"Só pra constar o carro do ovo passou aqui 30 ovos por 23 reais. Tempos difíceis né!! Deixei só ele passar mesmo! Só tinha 10 reais.#Eleicoes2022 #BolsonaroMacom #LulaNoSegundoTurno #LulaPresidente2022 #BrasilDaEsperanca
	";Negativo
"Vou largar a profecia aqui:1) 2022 @jairbolsonaro 2) 2026 @RomeuZema Anotem aí. #Eleicoes2022 #Eleicoes2026
	";Negativo
"A mamadeira de piroca das eleições de 2022 foi esse papo de ""Ciro é linha auxiliar do Bolsonarismo"". Campanha é campanha, nunca vi ninguém ganhar afagando adversário.Ciro fez três pedidos de impeachment de Bolsonaro, denunciou em Haia... era claro isso!
	";Neutro
"Ainda bem que o nome do candidato do 13 tem um nome que começa com ""L""Imagina que feio fazer algum símbolo que remetesse a letra se o nome dele se fosse sei lá com ""H""
	";Neutro
"Passando aqui só pra lembrar isso ao povo de Manaus #Eleicoes2022
	";Negativo
"AYY COK ÖNEMLI KÜTFEN NIS DIYEBILIR MI HERKES #DuyBeni #ekkan #QuerdenkerSindTerroristen #WWERaw #Eleicoes2022 #rihanna #yrkkh #ONEPIECE #Pokemon #IranProtests2022 #BVB #Crossdresser
	";Negativo
"Mona Fashion'a devam etmesini istediğiniz isim hangisi?@itsmenisss @mrphbyn @merveyyimm
	";Negativo
"E vamos de fofoca.Vocês sabiam que o atual vice-presidente é grau 33 na maçonaria?Não sabia? Então agora tá sabendo.Segue o link: https://gleb.org.br/blog/irmao-hamilton-mourao-vice-presidente-do-brasil-e-investido-ao-grau-330…Compartilhem muito!!!BOLSONARO SATANISTABaphometMaçonaria #BolsonaroSatanista#Maçonaria#Baphomet
	";Neutro
"#Eleicoes2022 #PresidenteBolsonaro22 A infiltrada!
	";Negativo
"Tem um monte de perfil recém criados e pessoas que te segue dizendo que não vai votar em Bolsonaro porque tem vídeo dele na maçonaria KKKKKKKK esses perfis são infiltrados e te segue a muito tempo e hoje eles resolveram colocar o jogo sujo deles em prática. De olho no lance.
	";Neutro
"
	";Negativo
"Zema do ""#partidonovo"" apoiando bolsonaro. Isso acaba com a falácia desse partido. É um partido igual a os outros, nada de novo! #Eleicoes2022 #LulaPresidente2022
	";Negativo
"#BolsonaroPresidente22 #LulaPresidente2022 #maconaria #mito #Eleicoes2022 #brazil #BrasilDaEsperanca #pt #pl #macom
	";Negativo
"Se fosse ao contrário iria estranhar! #Eleicoes2022
	";Negativo
"Ciro Gomes apoiará a candidatura de Lula no 2º turno das eleições. A decisão foi anunciada agora há pouco por Carlos Lupi, presidente do PDT. Segundo Lupi, o político cearense concordou com a resolução unânime de seu partido. (: Reprodução/Instagram; @ricardostuckert)
	";Positivo
"PDT declara apoio a Lula no segundo turno | Eleições 2022 | Valor Econômico
	";Positivo
"Erika Hilton, Duda Salabert, Linda Brasil e Dani Balbi: quem são as deputadas trans eleitas em 2022 | Eleições 2022 | G1
	";Negativo
"Ele enganou todos nós irmã!!! Em satanista eu não voto jamais!!! #Eleicoes2022
	";Negativo
"Resultado do 2º turno  das Eleiçoes Presidenciais do Brasil de 2022:1º Presidente Algoritmo    Vice-Presidente Código Fonte Inauditável do TSE2º EleitorEstes resultados tem garantia institucional do Foro de Sao Paulo que é embaixador da Fome na América Latina.
	";Neutro
"PDT unânime em apoio a @LulaOficial, agora é a vez do @MDB_Nacional e @simonetebetbr. Vamos pra cima em defesa da democracia, gente!!! #Eleicoes2022
	";Negativo
"Opa, Ciro vai publicar vídeo de apoio ao Lula nas redes sociais às 14h.
	";Negativo
"Reflitam!  #Eleicoes2022
	";Negativo
"Seja de que lado for, a conta é: 50 milhões não votaram como você. 31 milhões nem foram votar. Fato: a maioria não tem a mesma opinião que você. Procure entender o recado e ouvir o outro antes de querer impor a sua visão. Não é fácil. É assim a democracia. Melhore o debate!
	";Neutro
"A realidade da Argentina que nenhum meio de comunicação quer mostrar. ¿Vocês querem isso para o Brasil? 04/10/22
	";Negativo
"Verdade! Ela é uma italiana católica com fé em Deus e não na maçonaria!!!! #Eleicoes2022
	";Negativo
"Fã da Lady Gaga que vota em b0st0n4r0 não aprendeu nada com ela.
	";Negativo
"Ainda sobre o Padre Kelmon, Kelvin,  candidato padre.#padredefestajunina #Eleicoes2022
	";Negativo
"Eleições 2022. Urna de boca.
	";Negativo
"O PT está disparando FakeNews, perfil novos com fotos de pessoas alheias. A pessoa do perfil diz que é alguém da família que não vota mais em Bolsonaro.A JOVEM da foto é Taylor Swift, cantora e compositora estadunidense.#Eleicoes2022 @jairbolsonaro
	";Neutro
"Petistas e ciristas nesse momento.#Eleicoes2022
	";Negativo
"Pra mim essa eleição não foi nada democrático! Pra mim foi uma competição de favoritismo  :Odeio Lula por me fazer votar no Bolsonaro :Odeio o Bolsonaro por me fazer votar no Lula #Eleicoes2022
	";Positivo
"Eu avisei em agosto! E a esquerda foi ainda pior do que eu previa, com apenas 129 deputados eleitos.Lula nunca terá condições de governar. Bolsonaro, sim. A governabilidade de Lula está na contramão da mesma vontade popular que elegeu o Congresso. A de Bolsonaro, em harmonia.
	";Neutro
"tem video, infelizmente não consigo defender o mito, vou ter que votar no 9 dedos, que decepção 
	";Negativo
"PDT anuncia apoio à candidatura de Lula no 2º turno das eleições | Eleições 2022 | G1
	";Positivo
"Em entrevista ao @cbnbrasil, o deputado federal eleito pelo PSOL, Guilherme Boulos, fez uma análise do resultado da primeira etapa da eleição para o governo de São Paulo. #Eleições2022 #SP #NoArNaCBN
	";Neutro
"O PRESIDENTE BOLSONARO PRECISA RENUNCIAR A PRESIDÊNCIA E SE TORNAR PASTOR PARA PROVAR QUE ESTÁ COM CRISTO  BOLSONARO SATANISTA #Eleicoes2022
	";Negativo
"O STF, não vai se manifestar em relação aos institutos de pesquisas? Não vi mais notícia em relação a tal "" pesquisa com credibilidade."" #Eleicoes2022
	";Neutro
"o filme das eleições 2022 tem tanto plot twist que dá uma mini série
	";Negativo
"Roteiristas brasileiros, atenção pra essa ideia: filme de terror sobre um presidente misógino, racista, miliciano e negacionista que paga de cristão, mas que na verdade é parte integrante da maçonaria com direito a culto a Baphomet. Sugestão de título: Maçonaro.
	";Neutro
"Eleições 2022Institutos de pesquisa viraram vexame internacionalmente.
	";Negativo
"A corrupção do PT foi além de surrupiar o dinheiro pra eles. Eles usavam o o dinheiro nas #eleições pra se perpetuar no poder. #LulaNuncaMais #ptnuncamais #Eleicoes2022
	";Negativo
"PLENO 2022 E A PORRA DO DESTINO DA NAÇÃO  Tá nas mãos da religião   Não dá #Eleicoes2022
	";Negativo
"PSC decide apoiar Jair Bolsonaro no 2º turno da eleição presidencial | Eleições 2022 | G1
	";Positivo
"Eleições 2022 promovendo a catequese da nação
	";Negativo
"Resultado do 2º turno  das Eleiçoes Presidenciais do Brasil de 2022:1º Presidente Algoritmo    Vice-Presidente Código Fonte Inauditável do TSE2º EleitorEstas eleiçoes tem garantia de 40 anos expedida pelo Foro de Sao Paulo e sao chanceladas pelo Xandao do PCC.
	";Neutro
"#PresidenteBolsonaro22  #Eleicoes2022
	";Negativo
"Leões anda com Leões  , hienas com hienas , Bora Brasil  rumo a Segunda vitoria , a primeira já foi conquistada dia 02/10/2022. Governadores , Senadores e Deputados . Agora dia 30/10/2022 com muita fé em Deus será a vez do nosso Presidente .
	";Negativo
"#Eleicoes2022 Lula obligé d'affirmer via un communiqué officiel qu'il est chrétien après la diffusion en masse sur Tiktok et What's App d'une vidéo de soutien à sa candidature d'un pseudo chef de l' ""*église satanique"""" (sic) la campagne d'intox de Bolsonaro bat son plein
	";Neutro
"Estou repostando essa foto da minha amiga que está sendo alfabetizada aos 36 anos graças aos Planos de estudos do PT para jovens pobres  Temos que lutar pelo Lula no segundo turno. NUNCA um maçônico demoníaco! #Eleicoes2022
	";Neutro
"Segundo turno tô com ele lula para presidente do Brasil 13  #LulaNoSegundoTurno #Eleicoes2022 @LulaOficial
	";Negativo
"@alexandre não foi você que disse que no ano de 2018 não houve punição e que 2022 não haveria tolerância para fakenews? O quê podemos esperar da sua gestão no TSE. Eles já estão em pleno vapor espalhando Fakenews visando influenciar as eleições agora no 2⁰ TURNO.
	";Neutro
"Eu to assustada com onteor que a página @nordeste131 do nada, a pagina começa a avaliar o perfil de uma Bolsonarista, colocando o endereço da moça... A gente nao ta aqui no final das eleições tendo chance de perder, pra agir feito eles, eles que matam, não nós #Eleicoes2022
	";Neutro
"O que eu acho mais engraçado dos minion soltando a mão do maçonaro é que eles mesmos caçam coisas de anos atrás para tentar se justificar, se você já sabia disso antes do vídeo da maçonaria porque você apoiava? #Eleicoes2022
	";Neutro
"ATENÇÃO, CIRISTAS!É HORA DE UNIÃO. DEPOIS DO PRIMEIRO TURNO SEGUIREMOS COM CIRO E O PDT PELO APOIO A LULA. #LulaNoSegundoTurno #Eleicoes2022
	";Positivo
"Não podemos aceitar que o Brasil seja governado por um maçom! Sempre apoiei o Bolsonaro mas estava sendo enganada o tempo todo, ainda bem que nossos olhos foram abertos a tempo!!!  #bolsonaro #patria #DeusAcimaDeTudoEdeTodos #Eleicoes2022
	";Negativo
"Tem cristão espumado  #Eleicoes2022
	";Negativo
"Elmano ""parabeniza"" Wagner por apoio a Bolsonaro: ""Enfim assumiu""#opovo #eleições2022 #eleiçoes2022OPOVO
	";Negativo
" Candidatos reveem estratégias para retomar propaganda eleitoral na TV.Candidatos a presidente e a governador que foram para o segundo turno devem gravar novos comerciais para serem exibidos a partir de sexta. #Eleições2022Leia: https://cutt.ly/AV6qyPq
	";Neutro
"Presidente do PDT, Carlos Lupi, fala que apoio à candidatura de Lula foi unânime em reunião do partido. Mas, quando questionado se Ciro irá deixar apoio público, Lupi diz que fala apenas pelo partido.#Eleicoes2022 #CiroGomes #Lula
	";Neutro
"Todos que estão votando contra o bosominio O GADO está sofrendo algum ou qualquer ataque na família.Que diabo é isso?Aceita que dói menos.#LulaPresidente2022 #Eleicoes2022
	";Negativo
"#bolsonaro #politica#Eleicoes2022 #LulaPresidente2022#GloboNewsSaber desse plot twist é tão surreal, e na época ninguém  creditou no daciolo por ele ser um cristão doidão, o cara simplesmente arranjou uma ""facada fake"" e enganou todo mundo , agora o papai vai ficar on no 2°TU
	";Negativo
"Eleições 2022Expectativa (ou seria sonho? ): discutir trabalho, educação, saúde, etc. Realidade: religião (fazer o bem ninguém quer, mas só querem discutir quem é mais religioso ou qual religião é a “correta” )
	";Negativo
"#Eleicoes2022 #NORDESTEmeREPRESENTA #LulaNoSegundoTurno
	";Negativo
